,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,ucmd_clf
635159,0.945338257335154,0.90695547418697,0.59993746915494,0.242545348192539,0.9532054196587,0.10420863886957,0.530664717196721,0.941895397771149,True
177457,0.972044089282968,0.89572158580577,0.833610299765769,0.388404930391018,0.178375973818867,0.229398259942429,0.0776449434013326,0.450353969466363,True
899398,0.530901400633201,0.69270705289677,0.206450211177983,0.858957008055417,0.225490723328991,0.8183976236071,0.278592850608426,0.0209781685057572,True
350214,0.0228648355703926,0.90207849346557,0.790510621659897,0.535984801620151,0.174920746036883,0.353716959703689,0.642034269609782,0.399280084630732,True
607066,0.140285062669535,0.681167958595601,0.602202024144345,0.820304605543098,0.999278712293374,0.821539159980384,0.315669104627012,0.424436567547418,True
813213,0.957974251274657,0.830211673951719,0.79328451299711,0.348045318612954,0.14774852569539,0.665834397266568,0.528015560069268,0.426297580888678,True
896308,0.399723304475045,0.720627448279759,0.716790695088291,0.459639678642133,0.0269917774436759,0.961965959541856,0.0826432755736621,0.301663094632328,True
69586,0.110523477904642,0.811319309184584,0.134373667998431,0.852885808493151,0.211782452434884,0.640181484984297,0.929978579292927,0.510117989085493,True
848187,0.585454086812142,0.79898750314597,0.825845356657037,0.568523880551001,0.963628917865832,0.330478668980897,0.181518652962749,0.23838288936598,True
522562,0.0893091893278996,0.840177481422987,0.78255338598586,0.839880630258492,0.924192765519039,0.580831150398844,0.248592658491425,0.0189088966674732,True
497059,0.048721464765678,0.829094322987458,0.463522244675322,0.526359338362152,0.471186121395349,0.455799868276662,0.969831184887124,0.338008947306752,True
47238,0.56419878879584,0.657479807093948,0.234816144237119,0.839408281334465,0.698606978924739,0.378684962734883,0.949957833484861,0.312503137809638,True
889802,0.26019435560865,0.810623915593444,0.140907034950329,0.768796473433285,0.0653353453827952,0.353518696358878,0.282168184976369,0.842924126768728,True
737014,0.0799544674759498,0.924373498218891,0.714655630855964,0.50317590242177,0.950646141422192,0.639243312018992,0.960464157455789,0.0169671221506578,True
540644,0.670047984425299,0.860049866781721,0.357041767120328,0.756089985011805,0.325279583059623,0.29414880878038,0.906952193101631,0.200352493247795,True
939810,0.977538635207281,0.850329489883368,0.625676606857094,0.273484916491691,0.938843484799887,0.230717685579907,0.868508573494178,0.436875726584847,True
115684,0.738827555869832,0.799021171415667,0.760478893377355,0.65240475140742,0.450051506192533,0.9164640679686,0.244692758610759,0.434368956541859,True
691994,0.516431746361502,0.991204770664858,0.642878522210514,0.380252362043617,0.892432612853613,0.437267905991139,0.973720332591472,0.83279508983511,True
980585,0.406873832045315,0.678958058836747,0.680683752756537,0.561922057852057,0.608117102801903,0.989965586523937,0.690363698914641,0.865393961956771,True
927185,0.768059634202474,0.853088375895287,0.823548259439931,0.559023763385137,0.26050002219374,0.605128213256706,0.143173657730699,0.0215659892273817,True
929787,0.856170613975622,0.639255936063925,0.130214825713482,0.625147392250151,0.0305410733338259,0.991845946765815,0.804730305958578,0.843549971857093,True
704831,0.240076411928827,0.730125265009267,0.815631586582492,0.508296390329766,0.947505250064657,0.79937792791491,0.000452159634994689,0.747955115853131,True
466350,0.726944543679525,0.758946664562061,0.886804466532821,0.379936177351351,0.235733376559061,0.431193428942308,0.0995108383667646,0.828899584548819,True
972786,0.597941548380718,0.612182630979117,0.0120797134549125,0.647160576336087,0.309341177515232,0.385326271105857,0.871690005857335,0.69631112192687,True
193061,0.199276591122525,0.668237812318295,0.583862145204534,0.480304463243534,0.260742117877629,0.867300237132011,0.755514799886189,0.721349996212222,True
97298,0.889281315353486,0.8972877372792,0.654523343462139,0.432015778411841,0.0586835110723265,0.506263705389733,0.86920335591275,0.223481636504957,True
947110,0.691775475556693,0.659517088251589,0.194850226829354,0.590127221713739,0.0893988655760596,0.54178631353924,0.0784518512406575,0.993442390233124,True
547549,0.416717510961975,0.545173917715039,0.177684508995813,0.696210349095221,0.178515972314151,0.692365701566879,0.365018144918334,0.687135899255767,True
176739,0.823859983072282,0.82468791463009,0.650565686293323,0.266981350201495,0.282300541889254,0.446834177620017,0.524269011056477,0.869034591895038,True
326421,0.991585760403534,0.961163938995241,0.349345731891582,0.431998146496005,0.546656736260699,0.0998076451590704,0.891598306480959,0.703722144718321,True
501266,0.033611321824458,0.931891340426894,0.602044079193658,0.41225557682874,0.965923325565703,0.156070933108881,0.596616693072031,0.83392837081312,True
833702,0.0479562183291651,0.795964919310651,0.591690235842765,0.667757048319122,0.521735903158267,0.211402333246681,0.700596770483821,0.152510032740536,True
